sample_idx,time_ms,raw,delta_raw,zero_raw
1,159696,242432,-156,242588
2,159745,242420,-168,242588
3,159834,242446,-142,242588
4,159924,242414,-174,242588
5,160013,242386,-202,242588
6,160103,242407,-181,242588
7,160193,242411,-177,242588
8,160282,242373,-215,242588
9,160372,242363,-225,242588
10,160462,242350,-238,242588
11,160551,242337,-251,242588
12,160641,242318,-270,242588
13,160731,242283,-305,242588
14,160820,242252,-336,242588
15,160910,242195,-393,242588
16,161000,242135,-453,242588
17,161089,242117,-471,242588
18,161179,242143,-445,242588
19,161269,242150,-438,242588
20,161358,242116,-472,242588
21,161448,242091,-497,242588
22,161537,242066,-522,242588
23,161627,242084,-504,242588
24,161717,242064,-524,242588
25,161806,242055,-533,242588
26,161896,242057,-531,242588
27,161986,242066,-522,242588
28,162075,242076,-512,242588
29,162165,242041,-547,242588
30,162255,242059,-529,242588
31,162344,242084,-504,242588
32,162434,242091,-497,242588
33,162524,242091,-497,242588
34,162613,242089,-499,242588
35,162703,242078,-510,242588
36,162793,242125,-463,242588
37,162882,242172,-416,242588
38,162972,242212,-376,242588
39,163061,242271,-317,242588
40,163151,242310,-278,242588
41,163241,242357,-231,242588
42,163330,242396,-192,242588
43,163420,242385,-203,242588
44,163510,242408,-180,242588
45,163599,242398,-190,242588
46,163689,242371,-217,242588
47,163779,242365,-223,242588
48,163868,242393,-195,242588
49,163958,242405,-183,242588
50,164048,242414,-174,242588
51,164137,242397,-191,242588
52,164227,242420,-168,242588
53,164317,242401,-187,242588
54,164406,242466,-122,242588
55,164496,242536,-52,242588
56,164585,242596,8,242588
57,164675,242580,-8,242588
58,164765,242622,34,242588
59,164854,242645,57,242588
60,164944,242662,74,242588
61,165034,242679,91,242588
62,165123,242685,97,242588
63,165213,242652,64,242588
64,165303,242618,30,242588
65,165392,242625,37,242588
66,165482,242625,37,242588
67,165572,242590,2,242588
68,165661,242590,2,242588
69,165751,242589,1,242588
70,165841,242571,-17,242588
71,165930,242519,-69,242588
72,166020,242521,-67,242588
73,166109,242544,-44,242588
74,166199,242570,-18,242588
75,166289,242587,-1,242588
76,166378,242579,-9,242588
77,166468,242592,4,242588
78,166558,242617,29,242588
79,166647,242650,62,242588
80,166737,242655,67,242588
81,166827,242659,71,242588
82,166916,242644,56,242588
83,167006,242670,82,242588
84,167096,242670,82,242588
85,167185,242636,48,242588
86,167275,242646,58,242588
87,167364,242619,31,242588
88,167454,242599,11,242588
89,167544,242552,-36,242588
90,167633,242561,-27,242588
91,167723,242596,8,242588
92,167813,242640,52,242588
93,167902,242628,40,242588
94,167992,242639,51,242588
95,168082,242619,31,242588
96,168171,242614,26,242588
97,168261,242655,67,242588
98,168351,242654,66,242588
99,168440,242664,76,242588
100,168530,242669,81,242588
